SYMBOL,GAIN
ANSALAPI,0.249562406806617
KRISHIVAL,0.2463042533659077
IRB,0.2419004013956339
FELIX,0.2380067965983606
DFMFOODS,0.23384618676044627
TIMESCAN,0.23345151130169634
GREENPOWER,0.22607049952822056
POWERINDIA,0.2248396080080886
YESBANK,0.22284558032114615
SAKHTISUG,0.22058068405987896
JSLHISAR,0.21994388132853668
JAGSNPHARM,0.2191293221435842
NFL,0.2188351659869962
PROPEQUITY,0.21852060278744795
INNOVANA,0.21746075009987403
NIACL,0.216075405694072
HUBTOWN,0.21540894166893024
SUMIT,0.21523725847880915
KSHITIJPOL,0.21290983399699134
GICRE,0.21275431753220236
SAGCEM,0.21139498853433092
TRACXN,0.21070000072039324
RBLBANK,0.21055890458521073
MOREPENLAB,0.20982905695287904
TIINDIA,0.2085175327573407
SPIC,0.20770841724665284
SEYAIND,0.20675944333996035
PEARLPOLY,0.2012722452694579
SHARDACROP,0.20099871413047252
UTIAMC,0.2006721826930506
ABCAPITAL,0.19902044107522934
UNIVASTU,0.19828266664462652
CADSYS,0.19663865546218487
GSTL,0.19454286731691572
ASHOKA,0.19428536679602695
ANDREWYU,0.19112271188177327
SANCO,0.19074693422519517
DRL,0.18945298383406473
KOTAKLOVOL,0.18635410125890212
VSSL,0.18536762405289695
ETHOSLTD,0.18496454841011423
HINDWAREAP,0.18489802329772687
SRTRANSFIN,0.18351732415306948
EQUIPPP,0.18337434488238105
MEGAFLEX,0.1829984271085348
UNITEDPOLY,0.18275640929972986
KAMATHOTEL,0.1820727416313447
BAFNAPH,0.18114172058521455
HLVLTD,0.18082319468290214
AURDIS,0.18050122500898863
ROML,0.17736410190160312
HITECHGEAR,0.17669781239296234
STEL,0.1764338819379998
ORCHPHARMA,0.1751002479799687
ATFL,0.17450915936150235
INSPIRISYS,0.17437756352713812
UGARSUGAR,0.17300523481914393
EMAMIREAL,0.17024860931347546
LSIL,0.17022629447387289
AKG,0.1691837210828582
NECLIFE,0.1678785836930063
SUNDRMFAST,0.16725480563304018
GICL,0.16716977456345436
FINPIPE,0.16575411258621636
MIRCELECTR,0.16455053445387413
PFOCUS,0.16444367207402372
HERCULES,0.1644303857281731
LICI,0.1638920969334749
M&MFIN,0.16377349846195624
4THDIM,0.16277527141457965
LINDEINDIA,0.16107033378753594
APARINDS,0.15882547932455088
ARVEE,0.1570886112054502
KKCL,0.15672724401168175
SWASTIK,0.15619995391653096
GRAVITA,0.1555801729416959
RSWM-RE,0.1554246496997428
PULZ,0.1537184403646756
CARBORUNIV,0.1498895125509224
KSCL,0.14907109216171607
WEALTH,0.14892365194382912
SUNFLAG,0.14465642497245368
PONNIERODE,0.14192667040339646
SIDDHIKA,0.1405960982658958
PASHUPATI,0.13851087336307624
EXCEL,0.1365079365079363
INDOWIND,0.1357461691144593
SUPREMEIND,0.13444323768212585
MUKANDLTD,0.1337620714646106
HINDZINC,0.13204857142356263
GPIL,0.12993683323658584
IOLCP,0.12968538213129133
AMEYA,0.12648963106309138
PIGL,0.12629976275344332
SIYSIL,0.1258839676844138
BUTTERFLY,0.1258038965991437
TDPOWERSYS,0.12469459640080705
PROLIFE,0.12418188347744427
JFLLIFE,0.1215435482770401
GAL,0.12132413923514589
BALPHARMA,0.12108052469286357
JBMA,0.12100893675766383
DHANBANK,0.11863302516565082
MAHEPC,0.11817123210112504
MARICO,0.11719140435582662
EBANK,0.11624077260663115
KIRLFER,0.11456697322981475
BASML,0.11423650637271085
SHAHALLOYS,0.11368550719444637
BAJAJHCARE,0.11172787216165317
SANDESH,0.11127000974423733
KOTAKGOLD,0.11102143872843742
RKFORGE,0.11082504774733448
PRUDENT,0.11062331383848399
DBCORP,0.10990739922937606
HINDUNILVR,0.10856062269390715
ABBOTINDIA,0.10833799888172427
SOLARINDS,0.10777417366424052
VIVIANA,0.10742914841791641
STAR,0.10735827046797836
WALPAR,0.10733364048017167
PFS,0.10702341137123755
MALUPAPER,0.106298803087649
SHOPERSTOP,0.10589296227753553
ARVSMART,0.10587564724797144
CENTUM,0.10525914986029056
KARURVYSYA,0.10514452717848277
RADHIKAJWE,0.10435718606830661
